"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","AUS","Australia","A","Annual","2022","2022","NATUSD","National currency per US dollar","0","Units",,,1.441797,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","NATUSD","National currency per US dollar","0","Units",,,1.382418,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","NATUSD","National currency per US dollar","0","Units",,,1.397346,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2022-Q3","Q3-2022","NATUSD","National currency per US dollar","0","Units",,,1.463886,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2022-Q4","Q4-2022","NATUSD","National currency per US dollar","0","Units",,,1.523538,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2023-Q1","Q1-2023","NATUSD","National currency per US dollar","0","Units",,,1.460553,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2023-Q2","Q2-2023","NATUSD","National currency per US dollar","0","Units",,,1.496276,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2023-Q3","Q3-2023","NATUSD","National currency per US dollar","0","Units",,,1.527172,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-01","Jan-2022","NATUSD","National currency per US dollar","0","Units",,,1.392743,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-02","Feb-2022","NATUSD","National currency per US dollar","0","Units",,,1.397155,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-03","Mar-2022","NATUSD","National currency per US dollar","0","Units",,,1.357357,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-04","Apr-2022","NATUSD","National currency per US dollar","0","Units",,,1.351738,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-05","May-2022","NATUSD","National currency per US dollar","0","Units",,,1.418296,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-06","Jun-2022","NATUSD","National currency per US dollar","0","Units",,,1.422005,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-07","Jul-2022","NATUSD","National currency per US dollar","0","Units",,,1.459024,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-08","Aug-2022","NATUSD","National currency per US dollar","0","Units",,,1.436478,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1.496155,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1.570795,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,1.517227,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,1.482591,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-01","Jan-2023","NATUSD","National currency per US dollar","0","Units",,,1.439632,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-02","Feb-2023","NATUSD","National currency per US dollar","0","Units",,,1.44654,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-03","Mar-2023","NATUSD","National currency per US dollar","0","Units",,,1.495487,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-04","Apr-2023","NATUSD","National currency per US dollar","0","Units",,,1.494015,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-05","May-2023","NATUSD","National currency per US dollar","0","Units",,,1.503796,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-06","Jun-2023","NATUSD","National currency per US dollar","0","Units",,,1.491018,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-07","Jul-2023","NATUSD","National currency per US dollar","0","Units",,,1.484395,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-08","Aug-2023","NATUSD","National currency per US dollar","0","Units",,,1.540574,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-09","Sep-2023","NATUSD","National currency per US dollar","0","Units",,,1.556548,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2023-10","Oct-2023","NATUSD","National currency per US dollar","0","Units",,,1.573627,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","A","Annual","2022","2022","NATUSD","National currency per US dollar","0","Units",,,1.301728,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","Q","Quarterly","2022-Q1","Q1-2022","NATUSD","National currency per US dollar","0","Units",,,1.266437,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","Q","Quarterly","2022-Q2","Q2-2022","NATUSD","National currency per US dollar","0","Units",,,1.276386,,
