"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6283.00144344602","7567.25364168664","9274.51415613905","10767.3962204623","11638.7337057728","12850.2157123975","13657.6706444765","14970.1523419526","16675.2784883673","17140.4333687405","17375.2253063755","18713.4253880988","19742.3167386832","19833.8267458639","21023.1575127316","20913.2994971137","21377.0951851076","22050.8309318377","24104.6461765229","24975.6732567007","25833.445623022","27665.4264651752","29011.5592450359","25739.1372506975","24452.9283634427","26044.4359333351","25609.9557239373","26515.678080228","26942.3079764655","28421.3864931862","28451.2737445083","29326.7080582111","30918.5152176932","31902.7625819564","24487.863569428","29342.1007300268","",
"Africa Eastern and Southern","AFE","GDP per capita (current US$)","NY.GDP.PCAP.CD","161.638982211816","161.111657354342","170.538537252726","198.038918725052","178.019217271171","196.818756169669","207.945573845966","210.149893724678","223.040659124942","248.44821994132","258.760362014977","277.028106576864","290.929485627729","369.782388048094","441.214101665853","455.808232737064","439.62755300869","484.274982988042","533.768074083069","598.516558313834","741.305704886249","739.098652794143","685.023457138594","694.537146574424","617.375481768169","510.414256764609","554.458042691303","656.115224805304","699.348881802578","724.754485136765","819.844295928423","869.131599394677","752.716097848535","723.802777930757","695.696584019376","764.788395310492","742.428028809833","761.231441499392","698.562840582118","671.862170523662","709.061010146892","630.198869049111","630.479082392873","816.43766222209","989.220844755067","1124.22030344619","1230.19479303066","1374.08624833358","1433.25830438865","1417.13058724797","1649.63914576854","1799.62300911306","1765.25007309797","1736.22250714845","1724.53438087977","1545.55908352233","1436.09440388982","1613.66848779126","1550.11176204468","1499.9544365215","1353.9275274008","1539.16554316986","1622.39171959406",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","62.3693745050559","62.4437034626929","60.9503638210144","82.0217375781519","85.5110734102311","105.243195716467","143.103233209791","167.165674606148","134.012768293881","134.250359614672","162.642175409527","166.224831269243","141.36532229912","149.74406846683","181.59877600924","194.66903621844","205.674096714917","232.778698777445","255.045622164367","284.755531712597","291.649791044155","311.853617000053","","","","","","","","","","","","","","","","","","","","","183.532775237202","200.462375926026","221.65766209292","255.055107095483","274.000655690946","375.07826147255","387.849288097831","443.845150536332","554.59473461788","621.912413814308","663.141052810937","651.987861948108","628.146803888496","592.476164793256","520.251954939821","530.14986261654","502.057099211089","500.52298078433","516.866797351726","363.674087113049","",
"Africa Western and Central","AFW","GDP per capita (current US$)","NY.GDP.PCAP.CD","107.423775397131","112.5038658224","118.197350638846","122.774119934314","131.163760272338","137.809817716383","143.601580819144","128.049649587039","129.123648222209","143.145552202818","194.327389860229","168.38527914121","199.319750111565","244.905282199756","331.581835147928","375.628580431775","441.401164812923","451.997204462273","479.177639502117","579.620308635455","712.426374259141","1301.957532216","1122.29030036678","806.591432964751","650.459671142166","645.828620285347","580.908731246974","580.461594693631","558.447754769758","507.740610423758","591.9896084034","556.337330034554","545.465985657053","443.597693421529","377.211746714847","460.825070660356","521.416802619087","513.050542698684","511.494584092603","526.248227046649","522.772772119317","535.897917196727","621.862504574923","700.443384123507","843.989814392726","1003.43661816797","1245.82294792284","1420.84033644779","1685.37116961232","1467.2412356052","1679.64672676436","1860.94392780989","1957.51961404941","2153.76613809455","2247.85749211781","1880.75077764461","1646.97239910395","1588.58100471239","1732.81654392311","1810.53800638238","1686.99789853738","1765.96530719796","1790.34880033979",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","711.941169235015","643.052851443849","620.363109508475","623.533932500336","637.519759416351","757.632389208355","684.489277182734","755.972444720059","792.914088450066","891.803204709644","949.349840556856","1038.91401921854","1196.46496180871","847.653799281656","251.856499216203","399.73555844781","523.310909069442","514.309886597359","423.393452775682","387.689414798423","556.88424373456","527.464118489685","872.657638045899","982.805589644709","1254.69612612243","1900.7238165071","2597.96358484271","3121.34873520681","4081.71749719537","3123.69889829937","3496.78479608032","4511.15322719034","4962.55207190082","5101.98387641128","5059.08044128816","3100.83068530533","1709.51553404553","2283.21423255725","2487.50099555267","2142.23875712854","1502.95075414518","1903.71740495688","2998.50115810921",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.484735848211","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416133065074","750.604449178826","1009.97711375563","717.380047745673","813.789396580449","1033.24253162418","1126.68334010717","1281.6598256178","1425.12421860142","1846.12012081207","2373.58129170055","2673.78780296036","2972.74361818169","3595.03830207997","4370.53971115737","4114.13404061058","4094.34969883571","4437.14114631148","4247.63135624709","4413.06339738921","4578.63320812155","3952.80358410846","4124.05538986272","4531.03220675893","5287.66081699731","5396.21422690995","5343.0377039956","6377.20309553753","6802.80451885113",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3958.5912696711","4193.16141357857","4967.34404256339","6183.80574141721","7174.44771790476","7963.56294354606","7758.7240210332","8206.98572629686","9456.01672825897","12054.0204364449","12534.8227080896","10516.7488703704","9739.23018106592","8108.67583806476","7825.15959844425","7914.87768044716","10568.9330403187","12833.0040359913","14529.0605342783","15404.8193037244","19208.6728089557","19967.7278346597","21123.0670454914","17024.3240763404","16670.9483673368","18731.6506853284","19081.5379620756","18253.0853760338","18592.2430209473","18884.1713459468","21620.4684882246","22809.0877599631","24784.9637863048","31954.1556558944","37630.7642639554","39583.9311942065","43084.2929123378","50562.8612073334","53721.4113275461","49750.6936704524","48237.8911734423","51428.1969548606","44902.3807653946","44747.7538640509","45680.5349900379","38885.5303237179","39931.2169819106","40632.2315536054","42904.8284555114","41328.6004993451","37207.2220000095","42072.341103463","41992.7933583772",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","299.969974066816","317.714251316809","349.200528375569","392.352848677378","454.732480215616","560.636241362794","1034.68876673397","1108.02276714499","1331.6965814462","1485.09905266131","1592.48174067705","2085.99791293262","2741.71041336197","2742.69618000365","2489.39489287951","2270.02407574001","2239.66513148784","2140.70236213361","2015.59886341296","2119.38468714726","1990.56489276901","2081.1789157336","2850.80154498515","2043.8661536701","2002.5976515281","1986.73119280265","2034.34569516258","2173.7260204911","2344.63546407172","2469.83416461058","2366.06381420652","2556.45171029202","2857.13272055077","2735.42540228517","2693.03777855092","2915.51368344495","3392.62016202883","4069.14941288094","4701.93113835085","5327.23454742179","6528.65029193734","5585.45610966012","6406.31381669319","6864.43418388411","7365.45684927874","7348.84954968398","7302.2503496362","6283.25602556899","6113.39773758358","6224.52297014464","6573.81696971074","6498.52903712431","5639.39873488484","6414.72561815051","7655.84840197887",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","27090.3400704676","31282.7675954944","35186.2320379881","29526.6392556165","34372.3840038864","42995.163998245","44841.2297519967","39921.6329906983","34586.5318193991","31955.1812505003","29432.8312066844","23111.3783815158","23088.2041692835","21545.4555840533","23141.014774712","26682.8498094612","25668.4933214662","25630.0809730927","25019.372357889","25463.4962885063","27010.6781857038","28596.5068287975","28709.2469206781","25905.8433836172","27261.9065733158","31855.5006047175","29909.0094348435","30221.9669995136","32607.3729348287","37017.736365469","42190.5543794633","45339.5851165809","43918.3801694265","45140.7690772438","31722.5887637992","34165.9133053315","40893.0233597739","44386.7860798374","45729.607675743","46865.9645976866","41525.1389043587","41054.5395698941","43063.9674785596","46722.2687193126","45376.1708390447","37629.1741680652","44315.554183896","53757.8632508308",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1163.18683603872","855.275656468141","1179.50409817873","1285.26079940373","1277.96841867454","1065.89852048502","1143.81042781121","1331.6397093432","1324.68528828362","1374.42423270049","1411.17666431069","2100.03058748674","2846.26630742503","2026.57070900355","1946.32939085275","2125.53221974145","3280.37486786153","2510.58557617376","2746.20748417286","2763.37518192638","2914.91825147004","3539.45678157511","3919.08956980375","2910.50832869461","3443.19143142482","3485.69023204695","4004.00958893967","2382.33806588418","4330.96745108666","5730.72380988423","6815.33162293557","6957.41749889251","7464.4747368819","7383.70450960064","7690.15700254783","8176.77119517435","8250.67317414321","7735.32208018486","7666.51783423783","7168.97587232911","2579.48876933284","3333.15290388997","4258.16026060875","5086.62776073134","5890.97800169795","7210.59554755899","8977.50685093365","8184.38988923991","10385.9644319555","12848.7404762598","13082.664325572","13080.2547323367","12334.7982453893","13789.060424772","12790.2640639201","14613.035714704","11795.1628852236","9963.67423069626","8496.428156755","10636.1155301986","13686.0086737317",
